,train_loss,test_loss
113,70241.08473632812,70563.31696614584
114,70228.64857096355,70611.40459635417
115,70220.9225032552,70641.42828125
116,70248.56125651042,70528.64852864583
117,70225.20030273437,70625.1456640625
118,70234.44447265625,70589.41838541666
119,70197.83405598959,70736.44145833333
120,70192.85728841145,70754.991640625
121,70255.7291015625,70503.54829427083
122,70229.8466015625,70608.15713541667
123,70232.07093098959,70598.15216145833
124,70227.07227864584,70617.38029947916
125,70218.2772265625,70654.89475260417
126,70222.06715169271,70641.48708333333
127,70229.62829752604,70609.42514322916
128,70249.21729817709,70528.28602864583
129,70232.3130859375,70599.8523828125
130,70208.23850260417,70693.7194140625
131,70236.01282552084,70584.11953125
132,70233.60555338542,70591.4500390625
133,70221.62905924479,70640.86602864583
134,70228.66939778646,70613.55923177084
135,70241.15893229167,70563.57227864584
136,70215.27711588542,70666.24515625
137,70252.4985123698,70517.8496875
138,70212.78088867187,70675.74186197917
139,70218.33228190104,70654.31145833334
140,70214.93320638021,70664.78923177083
141,70240.40995442709,70566.90274739583
142,70221.69659179688,70641.16350260416
143,70226.36780598959,70620.20993489583
144,70249.34948893229,70532.63247395834
145,70233.72748697917,70589.79760416667
146,70215.28481770834,70667.78845052083
147,70236.93367838542,70579.487890625
148,70250.68444986979,70521.97544270834
149,70237.71742838541,70574.30345052083
150,70223.13725260417,70636.35893229167
151,70228.10030598959,70615.60467447917
152,70211.7920670573,70683.38557291667
153,70213.71025390625,70673.85442708334
154,70229.91073893229,70607.1366796875
155,70243.09004557291,70554.76290364584
156,70218.02206054688,70652.68321614583
157,70197.98587239583,70736.9832421875
158,70235.20126953124,70589.0548828125
159,70222.87578125,70633.55971354166
160,70218.3725358073,70652.94393229167
161,70232.56207356771,70596.430390625
162,70231.08858723959,70602.9197265625
163,70238.35168294271,70572.96921875
164,70187.85448567709,70776.07930989584
165,70223.84804036458,70633.6303125
166,70256.50731770834,70501.12658854167
167,70218.02411458333,70652.54076822917
168,70222.66708984374,70636.65555989584
169,70221.72902018229,70641.38955729167
170,70216.13976236978,70662.9209375
