mass,epsilon,llp_rate,LLPModel_unique_id
0.108,2.275845926074791e-05,1.947287677660147e-07,DLS_0.108_2.275845926074791e-05_3.295810036773954e-10
0.108,2.6826957952797275e-07,3.660677846091282e-14,DLS_0.108_2.6826957952797275e-07_2.3719472643996166e-06
0.108,3.162277660168379e-06,5.981496865094378e-10,DLS_0.108_3.162277660168379e-06_1.7070564633026822e-08
0.108,3.727593720314938e-05,4.056794950993045e-07,DLS_0.108_3.727593720314938e-05_1.2285440796429584e-10
0.108,4.393970560760786e-07,2.628455701617282e-13,DLS_0.108_4.393970560760786e-07_8.841655727694247e-07
0.108,5.179474679231212e-06,3.4759572413477793e-09,DLS_0.108_5.179474679231212e-06_6.3632129528301055e-09
0.108,6.105402296585326e-05,5.552784039457393e-07,DLS_0.108_6.105402296585326e-05_4.579513196407188e-11
0.108,7.196856730011529e-07,1.880044748790935e-12,DLS_0.108_7.196856730011529e-07_3.2958100367739533e-07
0.108,8.483428982440726e-06,1.699177260757817e-08,DLS_0.108_8.483428982440726e-06_2.3719472643996166e-09
0.109,0.0001,1.0408097171330557e-07,DLS_0.109_0.0001_8.429343763507269e-12
0.109,1.1787686347935866e-06,2.0054553853173826e-11,DLS_0.109_1.1787686347935866e-06_6.066477939397799e-08
0.109,1.3894954943731388e-05,5.598552498114438e-08,DLS_0.109_1.3894954943731388e-05_4.365957258562135e-10
0.109,1.6378937069540646e-07,7.86426864422268e-15,DLS_0.109_1.6378937069540646e-07_3.1421168879225585e-06
0.109,1.9306977288832498e-06,1.3339577886995405e-10,DLS_0.109_1.9306977288832498e-06_2.261336507132834e-08
0.109,1e-07,1.0934485290684102e-15,DLS_0.109_1e-07_8.429343763507269e-06
0.109,2.275845926074791e-05,1.2952384045575094e-07,DLS_0.109_2.275845926074791e-05_1.627451486017964e-10
0.109,2.6826957952797275e-07,5.649939025777824e-14,DLS_0.109_2.6826957952797275e-07_1.1712535179915643e-06
0.109,3.162277660168379e-06,8.06133307612011e-10,DLS_0.109_3.162277660168379e-06_8.429343763507269e-09
0.109,3.727593720314938e-05,2.0159017129500594e-07,DLS_0.109_3.727593720314938e-05_6.0664779393978e-11
0.109,4.393970560760786e-07,4.047292602192431e-13,DLS_0.109_4.393970560760786e-07_4.365957258562153e-07
0.109,5.179474679231212e-06,4.167201240784846e-09,DLS_0.109_5.179474679231212e-06_3.1421168879225585e-09
0.109,6.105402296585326e-05,1.9205055021734517e-07,DLS_0.109_6.105402296585326e-05_2.261336507132835e-11
0.109,7.196856730011529e-07,2.877088963644815e-12,DLS_0.109_7.196856730011529e-07_1.6274514860179632e-07
0.109,8.483428982440726e-06,1.7449871107972503e-08,DLS_0.109_8.483428982440726e-06_1.171253517991564e-09
0.112,0.0001,3.116362373757479e-09,DLS_0.112_0.0001_2.448092728675049e-12
0.112,1.1787686347935866e-06,3.6406806795174085e-11,DLS_0.112_1.1787686347935866e-06_1.7618572630057315e-08
0.112,1.3894954943731388e-05,2.5781079545687152e-08,DLS_0.112_1.3894954943731388e-05_1.2679834300582443e-10
0.112,1.6378937069540646e-07,1.592963583222047e-14,DLS_0.112_1.6378937069540646e-07_9.125495082157777e-07
0.112,1.9306977288832498e-06,2.1268676396097893e-10,DLS_0.112_1.9306977288832498e-06_6.567488069671428e-09
0.112,1e-07,2.218401510678748e-15,DLS_0.112_1e-07_2.44809272867505e-06
0.112,2.275845926074791e-05,3.5592303483133597e-08,DLS_0.112_2.275845926074791e-05_4.726527071348507e-11
0.112,2.6826957952797275e-07,1.1395781261171295e-13,DLS_0.112_2.6826957952797275e-07_3.4016138163016173e-07
0.112,3.162277660168379e-06,1.048337773913673e-09,DLS_0.112_3.162277660168379e-06_2.4480927286750493e-09
0.112,3.727593720314938e-05,2.928844105418081e-08,DLS_0.112_3.727593720314938e-05_1.7618572630057313e-11
0.112,4.393970560760786e-07,8.072678410991999e-13,DLS_0.112_4.393970560760786e-07_1.2679834300582493e-07
0.112,5.179474679231212e-06,4.12930310055713e-09,DLS_0.112_5.179474679231212e-06_9.125495082157776e-10
0.112,6.105402296585326e-05,1.3520709209097998e-08,DLS_0.112_6.105402296585326e-05_6.5674880696714305e-12
0.112,7.196856730011529e-07,5.578615430064581e-12,DLS_0.112_7.196856730011529e-07_4.726527071348505e-08
0.112,8.483428982440726e-06,1.2259369959017244e-08,DLS_0.112_8.483428982440726e-06_3.401613816301617e-10
0.115,0.0001,1.9323961552960442e-10,DLS_0.115_0.0001_1.1861579413246528e-12
0.115,1.1787686347935866e-06,4.6426798179154294e-11,DLS_0.115_1.1787686347935866e-06_8.536608762878947e-09
0.115,1.3894954943731388e-05,1.1590703033156465e-08,DLS_0.115_1.3894954943731388e-05_6.14367502266005e-11
0.115,1.6378937069540646e-07,2.330614345319448e-14,DLS_0.115_1.6378937069540646e-07_4.421514893383471e-07
0.115,1.9306977288832498e-06,2.404114033668659e-10,DLS_0.115_1.9306977288832498e-06_3.182100921729303e-09
0.115,1e-07,3.2535716872359227e-15,DLS_0.115_1e-07_1.1861579413246529e-06
0.115,2.275845926074791e-05,1.0940605896498618e-08,DLS_0.115_2.275845926074791e-05_2.2901124434123345e-11
0.115,2.6826957952797275e-07,1.656657918166575e-13,DLS_0.115_2.6826957952797275e-07_1.6481611150855198e-07
0.115,3.162277660168379e-06,1.0090387513134421e-09,DLS_0.115_3.162277660168379e-06_1.186157941324653e-09
0.115,3.727593720314938e-05,5.852796891550574e-09,DLS_0.115_3.727593720314938e-05_8.536608762878948e-12
0.115,4.393970560760786e-07,1.154621492683966e-12,DLS_0.115_4.393970560760786e-07_6.143675022660076e-08
0.115,5.179474679231212e-06,3.2404020359047736e-09,DLS_0.115_5.179474679231212e-06_4.421514893383472e-10
0.115,6.105402296585326e-05,1.627902095516428e-09,DLS_0.115_6.105402296585326e-05_3.182100921729305e-12
0.115,7.196856730011529e-07,7.679278501447967e-12,DLS_0.115_7.196856730011529e-07_2.2901124434123332e-08
0.115,8.483428982440726e-06,7.48435307073735e-09,DLS_0.115_8.483428982440726e-06_1.6481611150855195e-10
0.117,0.0001,3.5393531371886745e-11,DLS_0.117_0.0001_8.31848082952572e-13
0.117,1.1787686347935866e-06,5.0272421887622364e-11,DLS_0.117_1.1787686347935866e-06_5.9866914741444055e-09
0.117,1.3894954943731388e-05,6.987665828852779e-09,DLS_0.117_1.3894954943731388e-05_4.3085360826198646e-11
0.117,1.6378937069540646e-07,2.7801136360281538e-14,DLS_0.117_1.6378937069540646e-07_3.100791690270028e-07
0.117,1.9306977288832498e-06,2.425700110768001e-10,DLS_0.117_1.9306977288832498e-06_2.2315953544483666e-09
0.117,1e-07,3.8889808629395476e-15,DLS_0.117_1e-07_8.318480829525721e-07
0.117,2.275845926074791e-05,5.369883647628219e-09,DLS_0.117_2.275845926074791e-05_1.606047204532413e-11
0.117,2.6826957952797275e-07,1.965768471246771e-13,DLS_0.117_2.6826957952797275e-07_1.1558491632655292e-07
0.117,3.162277660168379e-06,9.294315766757432e-10,DLS_0.117_3.162277660168379e-06_8.318480829525721e-10
0.117,3.727593720314938e-05,2.2942375600811874e-09,DLS_0.117_3.727593720314938e-05_5.986691474144406e-12
0.117,4.393970560760786e-07,1.3523543466799287e-12,DLS_0.117_4.393970560760786e-07_4.308536082619882e-08
0.117,5.179474679231212e-06,2.662837505368309e-09,DLS_0.117_5.179474679231212e-06_3.1007916902700275e-10
0.117,6.105402296585326e-05,4.756562428594065e-10,DLS_0.117_6.105402296585326e-05_2.2315953544483678e-12
0.117,7.196856730011529e-07,8.742325557442054e-12,DLS_0.117_7.196856730011529e-07_1.6060472045324125e-08
0.117,8.483428982440726e-06,5.356911138531218e-09,DLS_0.117_8.483428982440726e-06_1.1558491632655295e-10
0.11,0.0001,2.8790541835515852e-08,DLS_0.11_0.0001_5.05964535498858e-12
0.11,1.1787686347935866e-06,2.622274756178382e-11,DLS_0.11_1.1787686347935866e-06_3.641354272452113e-08
0.11,1.3894954943731388e-05,4.403160255283343e-08,DLS_0.11_1.3894954943731388e-05_2.620630500205312e-10
0.11,1.6378937069540646e-07,1.0613819518299208e-14,DLS_0.11_1.6378937069540646e-07_1.886030225227608e-06
0.11,1.9306977288832498e-06,1.6722061288683552e-10,DLS_0.11_1.9306977288832498e-06_1.3573489319434465e-08
0.11,1e-07,1.4763867460798878e-15,DLS_0.11_1e-07_5.05964535498858e-06
0.11,2.275845926074791e-05,8.377587300770808e-08,DLS_0.11_2.275845926074791e-05_9.768645795831118e-11
0.11,2.6826957952797275e-07,7.61647639484711e-14,DLS_0.11_2.6826957952797275e-07_7.030354423882597e-07
0.11,3.162277660168379e-06,9.392284514166988e-10,DLS_0.11_3.162277660168379e-06_5.0596453549885804e-09
0.11,3.727593720314938e-05,1.0223321734296084e-07,DLS_0.11_3.727593720314938e-05_3.641354272452113e-11
0.11,4.393970560760786e-07,5.439302269493324e-13,DLS_0.11_4.393970560760786e-07_2.620630500205323e-07
0.11,5.179474679231212e-06,4.3855373950156166e-09,DLS_0.11_5.179474679231212e-06_1.8860302252276083e-09
0.11,6.105402296585326e-05,7.291738627688458e-08,DLS_0.11_6.105402296585326e-05_1.3573489319434472e-11
0.11,7.196856730011529e-07,3.8360262236724284e-12,DLS_0.11_7.196856730011529e-07_9.768645795831114e-08
0.11,8.483428982440726e-06,1.6128491245494188e-08,DLS_0.11_8.483428982440726e-06_7.030354423882598e-10
0.122,0.0001,7.613805713877185e-13,DLS_0.122_0.0001_4.343036844161e-13
0.122,1.1787686347935866e-06,5.351739252344586e-11,DLS_0.122_1.1787686347935866e-06_3.125621394058812e-09
0.122,1.3894954943731388e-05,2.196355900999938e-09,DLS_0.122_1.3894954943731388e-05_2.2494649365300093e-11
0.122,1.6378937069540646e-07,3.76211336052306e-14,DLS_0.122_1.6378937069540646e-07_1.6189076867390953e-07
0.122,1.9306977288832498e-06,2.221297541270912e-10,DLS_0.122_1.9306977288832498e-06_1.165104668057565e-09
0.122,1e-07,5.296126942385993e-15,DLS_0.122_1e-07_4.343036844161001e-07
0.122,2.275845926074791e-05,1.1330505235381844e-09,DLS_0.122_2.275845926074791e-05_8.385091371477906e-12
0.122,2.6826957952797275e-07,2.617735926161247e-13,DLS_0.122_2.6826957952797275e-07_6.034630126858233e-08
0.122,3.162277660168379e-06,7.026160256463476e-10,DLS_0.122_3.162277660168379e-06_4.3430368441610005e-10
0.122,3.727593720314938e-05,2.991272103540151e-10,DLS_0.122_3.727593720314938e-05_3.125621394058812e-12
0.122,4.393970560760786e-07,1.7348004710647505e-12,DLS_0.122_4.393970560760786e-07_2.2494649365300185e-08
0.122,5.179474679231212e-06,1.5912841037695867e-09,DLS_0.122_5.179474679231212e-06_1.6189076867390955e-10
0.122,6.105402296585326e-05,3.279914564807572e-11,DLS_0.122_6.105402296585326e-05_1.1651046680575654e-12
0.122,7.196856730011529e-07,1.0423078283871205e-11,DLS_0.122_7.196856730011529e-07_8.3850913714779e-09
0.122,8.483428982440726e-06,2.402594833189887e-09,DLS_0.122_8.483428982440726e-06_6.034630126858233e-11
0.125,0.0001,1.4927124491739652e-13,DLS_0.125_0.0001_3.2479663865395393e-13
0.125,1.1787686347935866e-06,5.2835742836360126e-11,DLS_0.125_1.1787686347935866e-06_2.337514874781831e-09
0.125,1.3894954943731388e-05,1.1757419295592536e-09,DLS_0.125_1.3894954943731388e-05_1.6822759658075614e-11
0.125,1.6378937069540646e-07,4.261974903054948e-14,DLS_0.125_1.6378937069540646e-07_1.210709910625879e-07
0.125,1.9306977288832498e-06,2.0295509289499776e-10,DLS_0.125_1.9306977288832498e-06_8.713305768379511e-10
0.125,1e-07,6.0271409438477e-15,DLS_0.125_1e-07_3.2479663865395404e-07
0.125,2.275845926074791e-05,5.0081917907519e-10,DLS_0.125_2.275845926074791e-05_6.270841325981013e-12
0.125,2.6826957952797275e-07,2.932620751880507e-13,DLS_0.125_2.6826957952797275e-07_4.513034659972086e-08
0.125,3.162277660168379e-06,5.825202565133322e-10,DLS_0.125_3.162277660168379e-06_3.24796638653954e-10
0.125,3.727593720314938e-05,1.0284436469438464e-10,DLS_0.125_3.727593720314938e-05_2.3375148747818313e-12
0.125,4.393970560760786e-07,1.8969149635033465e-12,DLS_0.125_4.393970560760786e-07_1.682275965807568e-08
0.125,5.179474679231212e-06,1.1730940475180818e-09,DLS_0.125_5.179474679231212e-06_1.210709910625879e-10
0.125,6.105402296585326e-05,7.453885668772153e-12,DLS_0.125_6.105402296585326e-05_8.713305768379515e-13
0.125,7.196856730011529e-07,1.0924018517929294e-11,DLS_0.125_7.196856730011529e-07_6.2708413259810096e-09
0.125,8.483428982440726e-06,1.530635612007784e-09,DLS_0.125_8.483428982440726e-06_4.5130346599720856e-11
0.127,0.0001,5.780859742089142e-14,DLS_0.127_0.0001_2.7497611960144995e-13
0.127,1.1787686347935866e-06,5.176590678427618e-11,DLS_0.127_1.1787686347935866e-06_1.97896373694615e-09
0.127,1.3894954943731388e-05,7.954177672482499e-10,DLS_0.127_1.3894954943731388e-05_1.4242318488689609e-11
0.127,1.6378937069540646e-07,4.561543612373592e-14,DLS_0.127_1.6378937069540646e-07_1.0249992566629344e-07
0.127,1.9306977288832498e-06,1.8960024927835365e-10,DLS_0.127_1.9306977288832498e-06_7.37677279857145e-10
0.127,1e-07,6.472063320459575e-15,DLS_0.127_1e-07_2.7497611960145003e-07
0.127,2.275845926074791e-05,3.0121097579677623e-10,DLS_0.127_2.275845926074791e-05_5.308957696116473e-12
0.127,2.6826957952797275e-07,3.1140014375133255e-13,DLS_0.127_2.6826957952797275e-07_3.820780792464232e-08
0.127,3.162277660168379e-06,5.129624650885322e-10,DLS_0.127_3.162277660168379e-06_2.7497611960144996e-10
0.127,3.727593720314938e-05,5.308888282061227e-11,DLS_0.127_3.727593720314938e-05_1.97896373694615e-12
0.127,4.393970560760786e-07,1.981396689156066e-12,DLS_0.127_4.393970560760786e-07_1.424231848868967e-08
0.127,5.179474679231212e-06,9.617553069505197e-10,DLS_0.127_5.179474679231212e-06_1.0249992566629344e-10
0.127,6.105402296585326e-05,2.839087820104075e-12,DLS_0.127_6.105402296585326e-05_7.376772798571455e-13
0.127,7.196856730011529e-07,1.1105806373621324e-11,DLS_0.127_7.196856730011529e-07_5.308957696116471e-09
0.127,8.483428982440726e-06,1.1478237285968156e-09,DLS_0.127_8.483428982440726e-06_3.8207807924642325e-11
0.12,0.0001,3.0911263916646863e-12,DLS_0.12_0.0001_5.462404635906576e-13
0.12,1.1787686347935866e-06,5.305880758357229e-11,DLS_0.12_1.1787686347935866e-06_3.931214356597041e-09
0.12,1.3894954943731388e-05,3.426579602602577e-09,DLS_0.12_1.3894954943731388e-05_2.829238649939325e-11
0.12,1.6378937069540646e-07,3.392698971676903e-14,DLS_0.12_1.6378937069540646e-07_2.0361625218624563e-07
0.12,1.9306977288832498e-06,2.330260318088848e-10,DLS_0.12_1.9306977288832498e-06_1.4653969948863058e-09
0.12,1e-07,4.763035446922371e-15,DLS_0.12_1e-07_5.462404635906577e-07
0.12,2.275845926074791e-05,2.041091658414139e-09,DLS_0.12_2.275845926074791e-05_1.0546252224786144e-11
0.12,2.6826957952797275e-07,2.3769402332217497e-13,DLS_0.12_2.6826957952797275e-07_7.589986630035116e-08
