mass,epsilon,llp_rate,LLPModel_unique_id
0.115,8.975553180819605e-06,1.8929057450624657e-08,DLS_0.115_8.975553180819605e-06_1.4723805499747298e-10
0.116,1.043199444046343e-05,1.8480034813547338e-08,DLS_0.116_1.043199444046343e-05_9.042793926403614e-11
0.116,1.212476889317728e-05,2.0579042226415188e-08,DLS_0.116_1.212476889317728e-05_6.69407215137106e-11
0.116,1.4092225753374626e-05,2.1964457802264967e-08,DLS_0.116_1.4092225753374626e-05_4.955393469370249e-11
0.116,1.6378937069540613e-05,2.2435980715609906e-08,DLS_0.116_1.6378937069540613e-05_3.668308897932633e-11
0.116,1.9952623149688787e-06,5.928044942089638e-10,DLS_0.116_1.9952623149688787e-06_2.471936600033843e-09
0.116,2.3190286946883035e-06,9.324116883495263e-10,DLS_0.116_2.3190286946883035e-06_1.8298904175982265e-09
0.116,2.6953318600976127e-06,1.4334385374956026e-09,DLS_0.116_2.6953318600976127e-06_1.3546055106639741e-09
0.116,3.13269682807168e-06,2.1496802551745032e-09,DLS_0.116_3.1326968280716798e-06_1.002768292502252e-09
0.116,3.641031949310677e-06,3.1389792132010503e-09,DLS_0.116_3.641031949310677e-06_7.42315191051452e-10
0.116,4.231853378566934e-06,4.455499840032747e-09,DLS_0.116_4.231853378566934e-06_5.495106366903007e-10
0.116,4.9185459691115625e-06,6.138300287316675e-09,DLS_0.116_4.9185459691115625e-06_4.0678399617292404e-10
0.116,5.716666501913616e-06,8.19664568131802e-09,DLS_0.116_5.716666501913616e-06_3.011283285416609e-10
0.116,6.6442961190834e-06,1.059352939315826e-08,DLS_0.116_6.6442961190834e-06_2.229150387021301e-10
0.116,7.722449945836254e-06,1.3230385614420311e-08,DLS_0.116_7.722449945836254e-06_1.6501640586331427e-10
0.116,8.975553180819605e-06,1.59379042693871e-08,DLS_0.116_8.975553180819605e-06_1.221560212473266e-10
0.117,1.043199444046343e-05,1.5229678728456343e-08,DLS_0.117_1.043199444046343e-05_7.643800193494951e-11
0.117,1.212476889317728e-05,1.655385336745426e-08,DLS_0.117_1.212476889317728e-05_5.658444770760051e-11
0.117,1.4092225753374626e-05,1.7229501885300092e-08,DLS_0.117_1.4092225753374626e-05_4.1887538152802183e-11
0.117,1.6378937069540613e-05,1.715348635482917e-08,DLS_0.117_1.6378937069540613e-05_3.1007916902700397e-11
0.117,1.9952623149688787e-06,5.942872398929632e-10,DLS_0.117_1.9952623149688787e-06_2.0895079126458234e-09
0.117,2.3190286946883035e-06,9.22830211790756e-10,DLS_0.117_2.3190286946883035e-06_1.5467914940835926e-09
