mass,epsilon,llp_rate,LLPModel_unique_id
0.129,3.1326968280716798e-06,1.04104275832607e-09,DLS_0.129_3.1326968280716798e-06_2.412968677223616e-10
0.129,3.641031949310677e-06,1.3013615853545462e-09,DLS_0.129_3.641031949310677e-06_1.7862384740594452e-10
0.129,4.231853378566934e-06,1.5691305216203825e-09,DLS_0.129_4.231853378566934e-06_1.322291464587692e-10
0.129,4.9185459691115625e-06,1.821155986379527e-09,DLS_0.129_4.9185459691115625e-06_9.788473055044394e-11
0.129,5.716666501913616e-06,2.030082025978669e-09,DLS_0.129_5.716666501913616e-06_7.246072996410566e-11
0.129,6.6442961190834e-06,2.169186280871485e-09,DLS_0.129_6.6442961190834e-06_5.364020881913974e-11
0.129,7.722449945836254e-06,2.218524412125009e-09,DLS_0.129_7.722449945836254e-06_3.970801844787114e-11
0.129,8.975553180819605e-06,2.1701610499135933e-09,DLS_0.129_8.975553180819605e-06_2.939449274652845e-11
0.12,1.043199444046343e-05,8.72016581597189e-09,DLS_0.12_1.043199444046343e-05_5.019369578239563e-11
0.12,1.212476889317728e-05,8.896791864257681e-09,DLS_0.12_1.212476889317728e-05_3.7156682309242385e-11
0.12,1.4092225753374626e-05,8.680713108130523e-09,DLS_0.12_1.4092225753374626e-05_2.7505825556566886e-11
0.12,1.6378937069540613e-05,8.099517417268333e-09,DLS_0.12_1.6378937069540613e-05_2.036162521862464e-11
0.12,1.9952623149688787e-06,5.742948189453346e-10,DLS_0.12_1.9952623149688787e-06_1.3720940088348769e-09
0.12,2.3190286946883035e-06,8.608619696473263e-10,DLS_0.12_2.3190286946883035e-06_1.015714431663216e-09
0.12,2.6953318600976127e-06,1.2563636697961887e-09,DLS_0.12_2.6953318600976127e-06_7.518987766479532e-10
0.12,3.1326968280716798e-06,1.782198187907009e-09,DLS_0.12_3.1326968280716798e-06_5.566050384840298e-10
0.12,3.641031949310677e-06,2.453624714589369e-09,DLS_0.12_3.641031949310677e-06_4.120357400326812e-10
0.12,4.231853378566934e-06,3.273906724147519e-09,DLS_0.12_4.231853378566934e-06_3.050160155335204e-10
0.12,4.9185459691115625e-06,4.2277698398796265e-09,DLS_0.12_4.9185459691115625e-06_2.2579296088384182e-10
0.12,5.716666501913616e-06,5.275371753891653e-09,DLS_0.12_5.716666501913616e-06_1.6714683357041466e-10
0.12,6.6442961190834e-06,6.348757206777926e-09,DLS_0.12_6.6442961190834e-06_1.2373310427063538e-10
0.12,7.722449945836254e-06,7.353651569287488e-09,DLS_0.12_7.722449945836254e-06_9.159540007677302e-11
0.12,8.975553180819605e-06,8.179705649489961e-09,DLS_0.12_8.975553180819605e-06_6.780495296451699e-11
0.131,1.043199444046343e-05,1.5276430572088472e-09,DLS_0.131_1.043199444046343e-05_1.9006515228492578e-11
0.131,1.212476889317728e-05,1.337190987376619e-09,DLS_0.131_1.212476889317728e-05_1.406987545233853e-11
